Volume of Key-Value Pairs,Get Runtime
0,0
524288,0
1048576,0
1572864,0
2097152,0
2621440,0
3145728,0
3670016,0
4194304,0
4718592,0
5242880,0
5767168,0
6291456,0
6815744,0
7340032,1
7864320,1
8388608,0
8912896,1
9437184,1
9961472,222
10485760,43
11010048,49
11534336,39
12058624,38
12582912,34
13107200,34
13631488,33
14155776,37
14680064,30
15204352,29
15728640,32
16252928,28
16777216,28
17301504,25
17825792,26
18350080,25
18874368,24
19398656,35
19922944,34
20447232,245
20971520,252
21495808,176
22020096,223
22544384,232
23068672,221
23592960,169
24117248,163
24641536,163
25165824,171
25690112,160
26214400,146
26738688,155
27262976,139
27787264,148
28311552,162
28835840,138
29360128,141
29884416,133
30408704,134
30932992,253
31457280,224
31981568,276
32505856,209
33030144,253
33554432,195
34078720,214
34603008,239
35127296,191
35651584,185
36175872,227
36700160,237
37224448,183
37748736,180
38273024,160
38797312,182
39321600,197
39845888,179
40370176,159
40894464,165
41418752,878
41943040,891
42467328,840
42991616,858
43515904,827
44040192,845
44564480,821
45088768,813
45613056,551
46137344,539
46661632,529
47185920,547
47710208,596
48234496,541
48758784,523
49283072,556
49807360,526
50331648,535
50855936,542
51380224,519
51904512,654
