Volume of Key-Value Pairs,Scan Runtime
0,2
524288,3
1048576,5
1572864,7
2097152,9
2621440,10
3145728,15
3670016,13
4194304,17
4718592,18
5242880,19
5767168,21
6291456,23
6815744,23
7340032,36
7864320,28
8388608,33
8912896,33
9437184,34
9961472,198
10485760,57
11010048,70
11534336,76
12058624,76
12582912,82
13107200,86
13631488,93
14155776,85
14680064,98
15204352,106
15728640,103
16252928,100
16777216,117
17301504,122
17825792,123
18350080,123
18874368,121
19398656,126
19922944,127
20447232,458
20971520,458
21495808,540
22020096,480
22544384,542
23068672,688
23592960,791
24117248,1056
24641536,1112
25165824,1120
25690112,906
26214400,741
26738688,746
27262976,666
27787264,663
28311552,715
28835840,650
29360128,747
29884416,707
30408704,663
30932992,1028
31457280,988
31981568,1023
32505856,1142
33030144,1280
33554432,1108
34078720,980
34603008,965
35127296,971
35651584,946
36175872,929
36700160,974
37224448,969
37748736,939
38273024,945
38797312,955
39321600,953
39845888,958
40370176,971
40894464,942
41418752,1806
41943040,1613
42467328,1388
42991616,1390
43515904,1388
44040192,1393
44564480,1606
45088768,1618
45613056,1569
46137344,1509
46661632,1439
47185920,1527
47710208,1423
48234496,1574
48758784,1443
49283072,1632
49807360,1362
50331648,1566
50855936,1428
51380224,1420
51904512,1973
