Volume of Key-Value Pairs,Get Runtime
0,0
524288,0
1048576,0
1572864,0
2097152,0
2621440,0
3145728,0
3670016,0
4194304,0
4718592,0
5242880,1
5767168,1
6291456,0
6815744,1
7340032,1
7864320,1
8388608,1
8912896,1
9437184,1
9961472,120
10485760,38
11010048,36
11534336,35
12058624,35
12582912,33
13107200,31
13631488,32
14155776,28
14680064,32
15204352,26
15728640,28
16252928,27
16777216,28
17301504,32
17825792,26
18350080,24
18874368,24
19398656,31
19922944,32
20447232,136
20971520,145
21495808,139
22020096,136
22544384,143
23068672,152
23592960,138
24117248,215
24641536,231
25165824,214
25690112,166
26214400,163
26738688,126
27262976,109
27787264,109
28311552,103
28835840,112
29360128,102
29884416,99
30408704,89
30932992,162
31457280,175
31981568,173
32505856,163
33030144,186
33554432,223
34078720,175
34603008,151
35127296,144
35651584,144
36175872,140
36700160,146
37224448,160
37748736,151
38273024,130
38797312,136
39321600,119
39845888,136
40370176,119
40894464,137
41418752,808
41943040,579
42467328,614
42991616,645
43515904,642
44040192,777
44564480,580
45088768,600
45613056,619
46137344,651
46661632,633
47185920,552
47710208,616
48234496,515
48758784,518
49283072,568
49807360,694
50331648,536
50855936,533
51380224,499
51904512,763
