Maximum Bufferpool Size,Runtime
4096,0.523301
8192,0.525553
12288,0.455897
16384,0.27636
20480,0.197141
24576,0.066344
28672,0.080953
32768,0.068933
36864,0.068015
40960,0.066994
45056,0.069603
