Volume of Key-Value Pairs,Scan Runtime
0,1
524288,3
1048576,5
1572864,7
2097152,9
2621440,10
3145728,11
3670016,13
4194304,17
4718592,18
5242880,19
5767168,20
6291456,21
6815744,23
7340032,29
7864320,26
8388608,34
8912896,34
9437184,35
9961472,211
10485760,55
11010048,69
11534336,84
12058624,79
12582912,98
13107200,94
13631488,89
14155776,86
14680064,103
15204352,112
15728640,113
16252928,97
16777216,121
17301504,130
17825792,129
18350080,126
18874368,121
19398656,138
19922944,140
20447232,471
20971520,439
21495808,470
22020096,474
22544384,465
23068672,490
23592960,458
24117248,468
24641536,469
25165824,453
25690112,473
26214400,484
26738688,448
27262976,487
27787264,470
28311552,478
28835840,485
29360128,531
29884416,488
30408704,512
30932992,703
31457280,698
31981568,702
32505856,678
33030144,674
33554432,701
34078720,720
34603008,738
35127296,731
35651584,732
36175872,724
36700160,733
37224448,730
37748736,724
38273024,750
38797312,989
39321600,1029
39845888,939
40370176,961
40894464,926
41418752,1279
41943040,1239
42467328,1236
42991616,1220
43515904,1250
44040192,1260
44564480,1249
45088768,1336
45613056,1325
46137344,1276
46661632,1336
47185920,1250
47710208,1246
48234496,1285
48758784,1239
49283072,1251
49807360,1299
50331648,1259
50855936,1240
51380224,1354
51904512,1114
